subject,level,true_time,min_time,coco_count,rmi
48607,5,134.36599731445313,154.51229858398438,345,0.3340050176666033
48607,8,115.51602172851563,288.8612976074219,223,0.3578041570800954
48607,10,156.78311157226563,404.3772888183594,348,0.4388985592711797
48607,2,93.766845703125,561.1602783203125,170,0.24856874402078744
48607,9,149.86614990234386,654.94342041015625,287,0.35917552665599395
48607,1,149.38189697265602,804.809326171875,323,0.3226064629884948
48607,7,112.78271484375011,954.22528076171875,238,0.2774022762643896
48607,3,138.9659423828125,1066.9580078125,288,0.40154634239846687
48608,4,202.6990203857422,62.15766906738281,307,0.3127660171570601
48608,8,114.71600341796875,264.9566955566406,213,0.6579099148303542
48608,3,154.37298583984375,379.6726989746094,314,0.4640171700537441
48608,9,175.201904296875,534.04571533203125,359,0.5021618343922406
48608,6,91.08599853515625,709.2476806640625,223,0.593670034498417
