subject,level,total_time,total_distance,start_time,rmi
48543,1,79.050048828125,883.8505550504424,965.013916015625,0.1916803937202256
48543,2,102.39990234374997,1096.798630410779,221.73159790039065,0.3876341145480392
48543,3,164.76066970825198,1806.6364939950788,56.87083053588867,0.3121965739192287
48543,4,151.70074462890625,1711.1173120976084,813.21307373046875,0.3409687577774564
48543,5,155.61669921875,1739.1534567132542,657.480712890625,0.25834854282403463
48543,9,130.53341674804688,1477.686106211482,324.2478942871094,0.46843775199181015
48545,1,206.16595458984386,2300.2269698418877,733.63812255859375,0.21456038656898258
48545,2,121.5169677734375,1350.731656410074,1370.43798828125,0.619366749241463
48545,3,194.4010009765625,2074.18507423395,1492.0560302734375,0.44138118533281046
48545,4,197.75,2238.9033682966456,1686.572998046875,0.31531759016760774
48545,5,181.7169189453125,2005.8063957890997,939.905029296875,0.19256049245505125
48545,6,89.30041503906239,996.6180133254782,644.22100830078125,0.5736268545397865
48545,7,167.56677246093753,1763.6134803851444,77.93663024902344,0.18704100885002284
48545,8,148.3504180908203,1659.9434429107357,245.60389709472656,0.4521611594981453
48545,9,250.05050659179688,2796.01307697779,394.0544128417969,0.3968534547276099
48550,1,141.5911102294922,1626.9135128421335,149.45179748535156,0.4291917147289358
48550,2,89.4996337890625,1013.6966207433891,586.02447509765625,0.7632767979632507
48550,3,143.2330322265625,1613.6600255880617,1071.5050048828125,0.47179419774607834
48550,5,152.1988525390625,1677.7313526583696,675.63232421875,0.3561759465809
48550,6,108.2991714477539,1222.7621971395222,41.052528381347656,0.37702999702447393
48550,7,145.79092407226563,1644.1985880371326,440.1253967285156,0.4618064675689111
48550,8,101.63311767578125,1156.7976383342802,969.77191162109375,0.6888425722254584
48550,9,141.72454833984386,1565.6498336809875,827.9395751953125,0.3739435651575733
48550,10,144.009033203125,1613.0062202576023,1214.845947265625,0.39051510731907324
48565,4,206.69091796875,2141.8467469201064,1145.3580322265625,0.35403480397297393
48565,5,180.782958984375,2030.55991957802,1352.1490478515625,0.22773826910951878
48565,6,108.4830322265625,1165.7939585650852,845.22528076171875,0.3429594767079954
48565,7,150.40000915527344,1728.7862997799627,216.32530212402344,0.3696710021973594
48565,8,118.300048828125,1355.4533126756517,530.72528076171875,0.42352982896075253
48565,9,172.8499641418457,1977.6138388947156,43.37533187866211,0.3116528004011532
48565,10,191.44976806640625,2222.267381550406,953.80828857421875,0.34532782116465255
48572,1,194.3680419921874,2104.875979403899,1023.9940185546876,0.2275811592144037
48572,2,99.86777114868164,1130.187129687765,49.61323165893555,0.6464852698582855
48572,3,154.7679443359375,1753.9105330978632,1310.1290283203125,0.2533337100288615
48572,4,164.3856201171875,1894.768285859017,439.88330078125,0.5762337005891427
48572,5,158.0858154296876,1814.1555868307698,865.79217529296875,0.36336960776880733
48572,6,91.533935546875,1018.5948497000834,1218.47802734375,0.42744808914522214
48572,8,97.13409423828125,1103.9848947536964,768.54217529296875,0.38867297840200976
48572,9,155.5684814453125,1780.1125233596738,284.1990051269531,0.329928822620004
48572,10,163.8074951171875,1868.3286737999142,604.63458251953125,0.3155727787497238
48578,1,145.9806823730469,1662.6418578647704,197.88900756835935,0.34387616450724834
48578,2,121.93505859375,1322.537844338372,1114.77099609375,0.26847941290855915
48578,3,170.24468994140625,1879.1922365330865,497.7843017578125,0.4306541178471244
48578,4,285.7130126953125,2709.256659986759,1236.822998046875,0.5077962442869322
48578,5,145.44529724121094,1639.023999669077,52.32659912109375,0.16169855372443287
48578,6,99.6380615234375,1085.1945252187045,1522.6529541015625,0.3906418017788089
